naslov,cena,starost,proizvajalec,letnik,velikost okvirja,material,velikost obročev,dolžina opisa,kategorija,posodobljeno,ogledi
Specialized,Po dogovoru,Rabljeno,Specialized,2011,M,Aluminij,26 col,252,Enduro kolesa,28.08.2025,472
Commencal Furious 2018,1.350 €,Rabljeno,Commencal,2018,M,Aluminij,27.5 col (650b),582,Downhill in Freeride kolesa,03.10.2025,200
OTROŠKO KOLO,240 €,Rabljeno,Cube,2022,XXS,Karbon,24 col,155,Gorska kolesa,03.09.2025,30
specialized,1.300 €,Rabljeno,Specialized,2017,L,Karbon,27.5 col (650b),170,Enduro kolesa,13.08.2025,318
Scott 2010 Full Carbon,280 €,Rabljeno,Scott,2010 ali starejši,Univerzalna velikost,Karbon,26 col,128,Downhill in Freeride kolesa,17.09.2025,91
Bergamont Encore Expert 2018 - Large,1.500 €,Rabljeno,Bergamont,2018,L,Aluminij,27.5 col (650b),1485,Enduro kolesa,14.08.2025,84
Orbea occam H10,1.700 €,Rabljeno,Orbea,2021,L,Aluminij,29 col,233,Trail in All-Mountain kolesa,06.10.2025,129
Canyon Lux Trail CF 9 2024,3.700 €,Rabljeno,Canyon,2024,L,Karbon,29 col,1135,Trail in All-Mountain kolesa,13.08.2025,135
Canyon Sender CF 8.0 Large,1.950 €,Rabljeno,Canyon,2018,L,Karbon,27.5 col (650b),762,Downhill in Freeride kolesa,07.10.2025,78
Gorsko kolo GIANT,1.000 €,Rabljeno,Giant,2018,L,Aluminij,27.5 col (650b),61,Enduro kolesa,03.08.2025,380
Devinci Django,1.750 €,Rabljeno,DeVinci,2017,M,Karbon,29 col,178,Trail in All-Mountain kolesa,22.09.2025,262
Focus Jam 6.8 / 2023,1.780 €,Rabljeno,Focus,2023,L,Aluminij,29 col,491,Trail in All-Mountain kolesa,27.08.2025,97
MTB / gorsko kolo Wilier 503x Race,799 €,Rabljeno,Wilier,Neznan,S,Aluminij,29 col,837,Prednje vzmetena / XC kolesa,28.08.2025,90
Nukeproof mega 275 carbon,1.900 €,Rabljeno,Nukeproof,2019,L,Karbon,27.5 col (650b),825,Enduro kolesa,29.09.2025,228
Trek xcaliber 9 2023,1.000 €,Rabljeno,Trek,2023,M,Aluminij,29 col,2410,Prednje vzmetena / XC kolesa,24.09.2025,47
Scott Ransom 920 L 2021,1.950 €,Rabljeno,Scott,2021,L,Aluminij,29 col,422,Enduro kolesa,03.08.2025,248
Lapierre ZESTY AM 4.9,1.250 €,Rabljeno,Lapierre,2021,XL,Aluminij,29 col,228,Trail in All-Mountain kolesa,15.08.2025,776
Specialized STATUS 160 vel. XL,2.000 €,Rabljeno,Specialized,2023,XL,Aluminij,Mullet (29 in 27.5),461,Enduro kolesa,10.10.2025,177
Specialized,300 €,Rabljeno,Specialized,2023,XS,Aluminij,27.5 col (650b),155,Prednje vzmetena / XC kolesa,02.09.2025,72
Gaint rain 2     2018,1.300 €,Rabljeno,Giant,2018,M,Aluminij,27.5 col (650b),285,Enduro kolesa,17.07.2025,158
PIVOT switchblade 29” xl,3.099 €,Rabljeno,Pivot,2022,XL,Karbon,29 col,181,Enduro kolesa,30.07.2025,98
Specialized Demo 8 – DH kolo odlično ohranjeno,999 €,Rabljeno,Specialized,2014,M,Aluminij,26 col,508,Downhill in Freeride kolesa,09.10.2025,210
Specialized status 160,2.600 €,Rabljeno,Specialized,2024,M,Aluminij,Mullet (29 in 27.5),680,Enduro kolesa,25.09.2025,69
Cannondale Habit 4,1.800 €,Rabljeno,Cannondale,2023,L,Aluminij,29 col,537,Trail in All-Mountain kolesa,17.09.2025,461
Yeti SB150 TURQ T2,3.500 €,Rabljeno,Yeti,2021,L,Karbon,29 col,1176,Enduro kolesa,12.10.2025,055
Planet x flash jack,1.000 €,Rabljeno,Ostalo,2023,M,Aluminij,29 col,486,Prednje vzmetena / XC kolesa,15.09.2025,32
ORBEA OCCAM M30 Eagle carbon možna menjava,2.250 €,Rabljeno,Orbea,2020,L,Karbon,29 col,420,Trail in All-Mountain kolesa,14.09.2025,784
Commencal Meta HT AM,1.100 €,Rabljeno,Ostalo,2020,L,Aluminij,29 col,127,Enduro kolesa,24.09.2025,597
Scott Spark 970,1.500 €,Rabljeno,Scott,2023,M,Aluminij,29 col,230,Trail in All-Mountain kolesa,12.09.2025,83
IBIS RIPMO,7.048 €,Novo,Ibis,2025,Na voljo v več velikostih,Karbon,Na voljo v več velikostih,2724,Trail in All-Mountain kolesa,12.10.2025,193
Propain Spindrift,2.150 €,Rabljeno,Ostalo,2019,XL,Aluminij,27.5 col (650b),741,Enduro kolesa,11.10.2025,61
odlično kolo KTM 29'' XT,420 €,Rabljeno,KTM,Neznan,L,Aluminij,29 col,141,Gorska kolesa,11.10.2025,63
YT Jeffsy Core 2 - 2023 - XL,2.200 €,Rabljeno,YT,2023,XL,Aluminij,29 col,1010,Enduro kolesa,04.10.2025,32
SPECIALIZED STUMPJUMPER ALLOY 29,1.200 €,Rabljeno,Specialized,2021,M,Aluminij,29 col,722,Trail in All-Mountain kolesa,15.08.2025,321
Norco Sight A7.2 2016 L,970 €,Rabljeno,Norco,2016,L,Aluminij,27.5 col (650b),560,Trail in All-Mountain kolesa,30.08.2025,898
Santa Cruz Chameleon,1.350 €,Rabljeno,Santa Cruz,2021,XL,Aluminij,29 col,264,Prednje vzmetena / XC kolesa,26.08.2025,514
Scott Genius 950 XL 2021 z 160mm Fox 36 E-oprimised performance Grip 2,2.100 €,Rabljeno,Scott,2021,XL,Aluminij,29 col,811,Enduro kolesa,24.07.2025,950
Norco Range A1,1.700 €,Rabljeno,Norco,2020,XL,Aluminij,29 col,167,Enduro kolesa,18.08.2025,508
GT Force elite carbon,1.600 €,Rabljeno,GT,2021,M,Karbon,29 col,301,Gorska kolesa,24.09.2025,49
Nukeproof dissent 2022,4.500 €,Rabljeno,Nukeproof,2022,L,Aluminij,Mullet (29 in 27.5),760,Downhill in Freeride kolesa,06.10.2025,505
Cube Reaction c:62 PRO 2025,1.650 €,Rabljeno,Cube,2025,XXL,Karbon,29 col,1566,Prednje vzmetena / XC kolesa,17.09.2025,81
Specialized 2021 epic hardtail expert,2.000 €,Rabljeno,Specialized,2021,L,Karbon,29 col,994,Prednje vzmetena / XC kolesa,10.09.2025,114
Cannondale Claymore 1,1.150 €,Rabljeno,Cannondale,2012,L,Aluminij,26 col,351,Enduro kolesa,25.08.2025,226
giant stance 2,1.650 €,Rabljeno,Giant,2025,L,Aluminij,29 col,119,Trail in All-Mountain kolesa,29.08.2025,100
Specialized Demo 2016 1. Lastnik,1.490 €,Rabljeno,Specialized,2016,M,Aluminij,27.5 col (650b),263,Downhill in Freeride kolesa,07.08.2025,126
Specialized Jynx,400 €,Rabljeno,Specialized,2017,S,Aluminij,27.5 col (650b),388,Prednje vzmetena / XC kolesa,11.09.2025,156
Scott Genius 950 L,1.950 €,Rabljeno,Scott,2020,L,Aluminij,29 col,986,Trail in All-Mountain kolesa,08.09.2025,701
Santa Cruz V10,4.300 €,Novo,Santa Cruz,2023,XL,Karbon,29 col,151,Downhill in Freeride kolesa,20.09.2025,384
Yt capra core 1,1.800 €,Novo,YT,2024,L,Aluminij,29 col,647,Enduro kolesa,12.09.2025,041
YT Jeffsy CF carbon,1.800 €,Rabljeno,YT,2017,M,Karbon,27.5 col (650b),1166,Trail in All-Mountain kolesa,03.10.2025,490
IBIS RIPLEY,7.048 €,Novo,Ibis,2025,Na voljo v več velikostih,Karbon,Na voljo v več velikostih,2181,Trail in All-Mountain kolesa,11.10.2025,192
Radon Cragger 7.0 2022 M,600 €,Rabljeno,Ostalo,2022,M,Aluminij,29 col,521,Trail in All-Mountain kolesa,02.10.2025,517
Propain spindrift,2.470 €,Rabljeno,Ostalo,2020,M,Aluminij,27.5 col (650b),495,Enduro kolesa,11.10.2025,877
Cannondale Trigger 29er,800 €,Rabljeno,Cannondale,2013,XL,Aluminij,29 col,632,Trail in All-Mountain kolesa,08.10.2025,68
"KTM Myroon Prime 29 carbon...full XTR M9100, 9,6 kg...",1.600 €,Rabljeno,KTM,2020,M,Karbon,29 col,282,Prednje vzmetena / XC kolesa,17.09.2025,32
Cube Attention,600 €,Rabljeno,Cube,2021,L,Aluminij,29 col,178,Gorska kolesa,26.08.2025,375
Giant Stance 2020,1.700 €,Rabljeno,Giant,2020,L,Aluminij,29 col,294,Trail in All-Mountain kolesa,15.08.2025,126
Giant Reign,900 €,Novo,Giant,2019,M,Aluminij,26 col,543,Gorska kolesa,01.10.2025,49
Marin Alpine Trail XR,2.499 €,Novo,Marin,2022,L,Aluminij,29 col,257,Enduro kolesa,21.08.2025,874
Peugeot origin,200 €,Rabljeno,Ostalo,Neznan,L,Aluminij,26 col,57,Prednje vzmetena / XC kolesa,11.09.2025,532
Pivot Firebird,3.200 €,Rabljeno,Pivot,2023,S,Karbon,29 col,1356,Enduro kolesa,29.09.2025,121
Cannondale habit lt ltd,4.300 €,Novo,Cannondale,2025,M,Karbon,29 col,318,Trail in All-Mountain kolesa,26.09.2025,18
Deviate highlander,2.828 €,Rabljeno,Ostalo,2021,L,Karbon,29 col,731,Gorska kolesa,21.09.2025,26
Gt-kolo,80 €,Rabljeno,GT,Neznan,XS,Aluminij,26 col,58,Prednje vzmetena / XC kolesa,08.09.2025,267
Scott spark rc 900 world cup,3.000 €,Rabljeno,Scott,2021,L,Karbon,29 col,422,Gorska kolesa,03.08.2025,418
Specialized demo 8 (cena ni zadnja),1.200 €,Rabljeno,Specialized,2012,M,Aluminij,26 col,112,Downhill in Freeride kolesa,31.07.2025,378
Cannondale Prophet 800,500 €,Rabljeno,Cannondale,2010 ali starejši,M,Aluminij,26 col,506,Trail in All-Mountain kolesa,27.07.2025,036
trek remedy 8,1.400 €,Rabljeno,Trek,2019,L,Aluminij,27.5 col (650b),251,Enduro kolesa,03.10.2025,60
Specialized Stumpjumper EVO Comp alloy S2 2024,1.800 €,Rabljeno,Specialized,2024,S,Aluminij,Mullet (29 in 27.5),272,Trail in All-Mountain kolesa,06.10.2025,54
santa cruz blur c,2.900 €,Rabljeno,Santa Cruz,2023,L,Karbon,29 col,462,Prednje vzmetena / XC kolesa,28.09.2025,48
Specialized Stumpjumper Alloy 2022 – velikost M (S3),1.600 €,Novo,Specialized,2022,M,Aluminij,29 col,336,Trail in All-Mountain kolesa,14.07.2025,281
ROCKRIDER 540 ST 27.5,350 €,Rabljeno,Ostalo,2023,S,Aluminij,27.5 col (650b),159,Prednje vzmetena / XC kolesa,25.09.2025,43
Canyon stoic 2 L z upgrejdi,700 €,Rabljeno,Canyon,2022,L,Aluminij,29 col,160,Prednje vzmetena / XC kolesa,06.09.2025,108
balance,40 €,Rabljeno,Bergamont,2020,S,Aluminij,26 col,13,Trail in All-Mountain kolesa,18.08.2025,653
Giant Reign,1.490 €,Rabljeno,Giant,2018,M,Aluminij,27.5 col (650b),87,Enduro kolesa,26.09.2025,85
Dh kolo,1.250 €,Rabljeno,Specialized,Neznan,M,Aluminij,26 col,253,Downhill in Freeride kolesa,05.10.2025,169
Gorsko kolo 26col,100 €,Rabljeno,Ostalo,Neznan,L,Jeklo,26 col,55,Prednje vzmetena / XC kolesa,02.09.2025,59
SPECIALIZED ENDURO COMP 2023 skoraj kot NOV!,3.090 €,Rabljeno,Specialized,2023,L,Karbon,29 col,629,Enduro kolesa,08.10.2025,41
Nukeproof mega 290 cf,2.800 €,Rabljeno,Nukeproof,2022,XL,Karbon,29 col,300,Enduro kolesa,04.10.2025,460
2021 Orbea Rallon M10 (Green/Orange),1.800 €,Rabljeno,Orbea,2021,M,Karbon,29 col,1464,Enduro kolesa,05.08.2025,375
Yt capra al pro,2.100 €,Rabljeno,YT,2023,L,Aluminij,29 col,309,Enduro kolesa,16.09.2025,97
Scott spark,1.200 €,Rabljeno,Scott,2019,M,Aluminij,29 col,181,Prednje vzmetena / XC kolesa,25.09.2025,143
"Santa Cruz Tallboy L - Chris King, Reserve, eeWings, XX1, XTR, Chromag - nov 10.000€",4.500 €,Rabljeno,Santa Cruz,2021,L,Karbon,29 col,1073,Trail in All-Mountain kolesa,08.10.2025,60
Kolo DaBomb,280 €,Rabljeno,Ostalo,Neznan,M,Aluminij,26 col,276,Prednje vzmetena / XC kolesa,08.10.2025,881
GORSKO KOLO centurion,150 €,Rabljeno,Ostalo,Neznan,Na voljo v več velikostih,Aluminij,27.5 col (650b),96,Prednje vzmetena / XC kolesa,11.09.2025,25
"Giant Reign 2 LTD 27,5",990 €,Rabljeno,Giant,2016,M,Aluminij,27.5 col (650b),111,Enduro kolesa,03.09.2025,219
XC KOLO TREK PROCALIBER S 29,1.490 €,Rabljeno,Trek,2023,S,Karbon,29 col,237,Prednje vzmetena / XC kolesa,19.08.2025,166
Radon Swoop,3.100 €,Rabljeno,Ostalo,2023,L,Karbon,29 col,250,Enduro kolesa,22.09.2025,78
fantovsko kolo 160 cm-170cm velikost kolesarja,90 €,Rabljeno,Ostalo,2013,M,Jeklo,28 col (700c),172,Gorska kolesa,02.09.2025,79
Focus SAM 8.8 2021 L,1.800 €,Rabljeno,Focus,2021,L,Rabljeno,27.5 col (650b),369,Enduro kolesa,26.09.2025,47
Vrhunsko gorsko kolo focus,1.500 €,Rabljeno,Focus,2023,M,Aluminij,29 col,492,Enduro kolesa,22.09.2025,629
Trek ProCaliber 9.8 L Karbon,1.550 €,Rabljeno,Trek,2019,L,Karbon,29 col,204,Prednje vzmetena / XC kolesa,30.08.2025,382
"Prodam Scott Spark 970 (2023), velikost okvirja L",1.290 €,Rabljeno,Scott,2023,L,Aluminij,29 col,554,Trail in All-Mountain kolesa,25.08.2025,156
Cube Stereo one 44  C:62 Pro,1.900 €,Rabljeno,Cube,2023,L,Karbon,29 col,1311,Trail in All-Mountain kolesa,19.08.2025,95
Gorsko kolo Santacruz Bronson 4.1 CC L 2024 custom,4.500 €,Rabljeno,Santa Cruz,2023,L,Karbon,Mullet (29 in 27.5),853,Enduro kolesa,08.10.2025,33
PIVOT FIREBIRD XTR/XT,3.500 €,Rabljeno,Pivot,2022,L,Karbon,29 col,365,Enduro kolesa,06.10.2025,202
"Canyon Spectral AL 6 enduro / trail kolo, 2023 letnik, M velikost",2.100 €,Rabljeno,Canyon,2023,M,Aluminij,29 col,785,Trail in All-Mountain kolesa,03.10.2025,367
YT Jeffsy 29 CF PRO karbon,1.590 €,Rabljeno,YT,2019,XL,Karbon,29 col,524,Enduro kolesa,20.08.2025,052
"GIANT REIGN 1, 2021 velikost M",2.800 €,Rabljeno,Giant,2021,M,Aluminij,29 col,1326,Enduro kolesa,03.08.2025,001
CANYON Nerve XC F8,390 €,Rabljeno,Canyon,2012,S,Aluminij,26 col,610,Trail in All-Mountain kolesa,28.09.2025,567
Niner sir 9 L,850 €,Rabljeno,Ostalo,2021,L,Jeklo,29 col,196,Prednje vzmetena / XC kolesa,26.07.2025,183
Enduro kolo specialized,1.100 €,Rabljeno,Specialized,2014,L,Aluminij,29 col,284,Enduro kolesa,10.10.2025,33
Nukeproof Mega 290 Alloy XL,2.200 €,Rabljeno,Nukeproof,2022,XL,Aluminij,29 col,627,Enduro kolesa,01.09.2025,640
Norco empire 5se,900 €,Rabljeno,Norco,2011,S,Aluminij,26 col,511,Enduro kolesa,22.09.2025,42
Nakamura Cougar,250 €,Rabljeno,Nakamura,2020,S,Aluminij,27.5 col (650b),189,Prednje vzmetena / XC kolesa,11.10.2025,210
Mondraker Dune R Black Phantom Carbon Kashima L,2.490 €,Rabljeno,Mondraker,2019,L,Karbon,27.5 col (650b),222,Enduro kolesa,12.10.2025,846
"Karbonsko trail mtb kolo Ghost Lector FS, velikost L",1.250 €,Rabljeno,Ghost,2021,L,Karbon,29 col,917,Trail in All-Mountain kolesa,03.10.2025,53
Prodam zelo dobro ohranjeno gorsko kolo Trek Procaliber gen. 2  Velikosti M/L 29,2.000 €,Rabljeno,Trek,2022,M,Karbon,29 col,712,Prednje vzmetena / XC kolesa,21.09.2025,46
Trek slash7,750 €,Rabljeno,Trek,2013,M,Aluminij,26 col,133,Enduro kolesa,05.10.2025,564
Scott Scale 770 - zelo dobro ohranjeno,600 €,Rabljeno,Scott,2016,L,Aluminij,27.5 col (650b),335,Prednje vzmetena / XC kolesa,30.09.2025,180
Giant Trance 29 1 2020,1.400 €,Rabljeno,Giant,2020,M,Aluminij,29 col,807,Trail in All-Mountain kolesa,09.10.2025,352
Specialized Epic hardtail pro novo,3.800 €,Novo,Specialized,2022,XL,Karbon,29 col,170,Prednje vzmetena / XC kolesa,15.08.2025,429
canyon spectral 5,1.900 €,Rabljeno,Canyon,2023,XL,Aluminij,29 col,630,Enduro kolesa,18.08.2025,561
Mondraker Dune XR,2.100 €,Rabljeno,Mondraker,2016,L,Karbon,27.5 col (650b),1205,Enduro kolesa,20.07.2025,830
IBIS RIPLEY AF 2025,3.990 €,Novo,Ibis,2025,Na voljo v več velikostih,Aluminij,Na voljo v več velikostih,1132,Trail in All-Mountain kolesa,10.10.2025,109
Rose Root Miller,2.800 €,Rabljeno,Ostalo,2023,L,Aluminij,29 col,1293,Enduro kolesa,08.10.2025,161
NOV GHOST KATO,1.000 €,Novo,Ghost,2024,L,Aluminij,27.5 col (650b),214,Enduro kolesa,02.10.2025,172
Kolo Rock Machine Blizz TRL,1.100 €,Rabljeno,Ostalo,2023,XL,Aluminij,29 col,1564,Prednje vzmetena / XC kolesa,25.09.2025,165
lapierre spicy,1.000 €,Novo,Lapierre,2016,S,Aluminij,26 col,471,Downhill in Freeride kolesa,12.09.2025,328
"Prodam kolo Scott Genius 950 (2021) – odlično ohranjen, redno servisiran – velikost M",1.500 €,Rabljeno,Scott,2021,M,Aluminij,29 col,456,Trail in All-Mountain kolesa,24.09.2025,92
Cube two 15,3.800 €,Rabljeno,Cube,2022,L,Karbon,Mullet (29 in 27.5),237,Downhill in Freeride kolesa,21.09.2025,94
GORSKO KOLO SCOTT ASPECT 930,700 €,Novo,Scott,2024,S,Aluminij,29 col,675,Prednje vzmetena / XC kolesa,05.08.2025,93
BALANCE odlično,232 €,Rabljeno,Ostalo,2018,M,Aluminij,26 col,447,Gorska kolesa,31.07.2025,510
Lapierre Zesty AM 327,1.100 €,Rabljeno,Lapierre,2016,M,Aluminij,27.5 col (650b),654,Trail in All-Mountain kolesa,10.10.2025,82
Canyon Neuron CF 8,1.800 €,Rabljeno,Canyon,2024,M,Karbon,29 col,1589,Trail in All-Mountain kolesa,19.08.2025,294
Giant Fathom 1,900 €,Rabljeno,Giant,2023,L,Aluminij,29 col,362,Prednje vzmetena / XC kolesa,10.10.2025,18
Trek fuel ex 7,1.300 €,Rabljeno,Trek,2019,XL,Aluminij,29 col,174,Trail in All-Mountain kolesa,11.10.2025,17
SCOTT GENIUS 940,1.600 €,Rabljeno,Scott,2020,L,Aluminij,29 col,130,Enduro kolesa,08.10.2025,159
Specialized stumjumper,1.000 €,Rabljeno,Specialized,2019,L,Aluminij,27.5 col (650b),148,Trail in All-Mountain kolesa,29.09.2025,344
MONDRAKER SUPERFOXY NOV!,2.300 €,Novo,Mondraker,2024,XL,Aluminij,29 col,266,Enduro kolesa,02.10.2025,188
Commencal FRS,1.650 €,Rabljeno,Commencal,2019,L,Aluminij,27.5 col (650b),530,Downhill in Freeride kolesa,11.10.2025,67
KONA - KING KIKAPU,180 €,Rabljeno,Kona,2010 ali starejši,M,Aluminij,26 col,84,Prednje vzmetena / XC kolesa,20.07.2025,667
Canyon Spectral AL 27.5,1.200 €,Rabljeno,Canyon,2022,XL,Aluminij,27.5 col (650b),195,Trail in All-Mountain kolesa,10.10.2025,58
Canyon torque dhx,1.300 €,Rabljeno,Canyon,2015,M,Aluminij,26 col,146,Downhill in Freeride kolesa,26.07.2025,537
Gorsko kolo Fuji,500 €,Rabljeno,Fuji,2020,L,Aluminij,29 col,104,Gorska kolesa,04.10.2025,840
Giant reign 2,1.100 €,Rabljeno,Giant,2018,XXL,Aluminij,27.5 col (650b),248,Enduro kolesa,07.09.2025,684
MARIN Alpine Trail Carbon2,2.900 €,Rabljeno,Marin,2024,M,Karbon,26 col,489,Gorska kolesa,09.08.2025,82
Scott Genius 930 Bike 2022,2.400 €,Rabljeno,Scott,2022,M,Karbon,29 col,230,Trail in All-Mountain kolesa,10.10.2025,348
Ghost Riot Essential,1.799 €,Rabljeno,Ghost,2022,L,Aluminij,29 col,467,Trail in All-Mountain kolesa,23.07.2025,502
Commencal furious 2021,2.500 €,Rabljeno,Commencal,2021,L,Aluminij,27.5 col (650b),575,Downhill in Freeride kolesa,05.10.2025,756
Specialized enduro,3.100 €,Rabljeno,Specialized,2022,L,Karbon,Mullet (29 in 27.5),178,Enduro kolesa,15.09.2025,274
Gorsko kolo avtor amatrix,60 €,Rabljeno,Ostalo,Neznan,S,Aluminij,26 col,114,Prednje vzmetena / XC kolesa,16.09.2025,53
Ghost Riot full party,2.200 €,Rabljeno,Ghost,2021,M,Aluminij,29 col,597,Enduro kolesa,21.09.2025,537
Specialized enduro 2017,1.050 €,Rabljeno,Specialized,2017,L,Aluminij,27.5 col (650b),377,Enduro kolesa,25.07.2025,565
Scott genius 740.    CENA NI ZADNJAAAA!!!,1.500 €,Rabljeno,Scott,2021,M,Karbon,27.5 col (650b),174,Enduro kolesa,23.09.2025,352
Rock Machine 29  M,450 €,Novo,Ridley,2024,M,Aluminij,29 col,86,Prednje vzmetena / XC kolesa,30.08.2025,93
Trek Fuel EX 7,1.500 €,Rabljeno,Trek,2021,S,Aluminij,27.5 col (650b),143,Gorska kolesa,20.07.2025,376
Specialized Stumpjumper Alloy,1.420 €,Rabljeno,Specialized,2022,M,Aluminij,29 col,171,Enduro kolesa,19.09.2025,195
Prodajem dh HITNO!!!,1.200 €,Rabljeno,Bergamont,2012,L,Aluminij,26 col,450,Downhill in Freeride kolesa,01.10.2025,73
YT CAPRA 27 AL Comp,1.350 €,Rabljeno,YT,2018,XXL,Aluminij,29 col,814,Enduro kolesa,14.09.2025,526
FOCUS Thron 6.9 mineral green,1.600 €,Rabljeno,Focus,2022,L,Aluminij,29 col,92,Trail in All-Mountain kolesa,22.08.2025,389
Scott Scale 20,1.000 €,Rabljeno,Scott,2010 ali starejši,XL,Karbon,26 col,379,Prednje vzmetena / XC kolesa,07.10.2025,409
Balance,70 €,Rabljeno,Ostalo,2010 ali starejši,S,Jeklo,24 col,297,Prednje vzmetena / XC kolesa,09.09.2025,34
Specialized Enduro S-Works,3.000 €,Rabljeno,Specialized,2024,M,Karbon,29 col,188,Enduro kolesa,21.08.2025,621
Enduro kolo yt capra,1.400 €,Rabljeno,YT,2019,L,Aluminij,29 col,438,Gorska kolesa,01.08.2025,846
Transition Patrol 2,1.250 €,Rabljeno,Transition,2017,M,Aluminij,27.5 col (650b),1080,Enduro kolesa,09.10.2025,44
Downhill kolo Rocky Mountain Slayer Alloy 30 Park,3.000 €,Novo,Ostalo,2025,L,Aluminij,27.5 col (650b),1433,Downhill in Freeride kolesa,09.10.2025,279
Elan elisky SX,1.400 €,Rabljeno,Ostalo,2023,M,Aluminij,27.5 col (650b),241,Trail in All-Mountain kolesa,21.07.2025,80
fuji utah,60 €,Rabljeno,Fuji,2010 ali starejši,S,Jeklo,27.5 col (650b),148,Gorska kolesa,02.09.2025,28
LIV 20 col,110 €,Rabljeno,Giant,2017,Univerzalna velikost,Aluminij,20 col,109,Gorska kolesa,02.09.2025,176
Lapierre Zesty Am 7.9,1.950 €,Rabljeno,Lapierre,2023,XL,Karbon,29 col,190,Trail in All-Mountain kolesa,30.09.2025,106
COMMENCAL META HT AM OHLINS EDITION SILVER,2.000 €,Rabljeno,Commencal,2023,M,Aluminij,Mullet (29 in 27.5),312,Trail in All-Mountain kolesa,18.09.2025,231
Specialized demo8 2014,1.100 €,Rabljeno,Specialized,2014,S,Aluminij,26 col,56,Downhill in Freeride kolesa,19.09.2025,56
Specialized enduro comp,2.500 €,Rabljeno,Specialized,2022,M,Karbon,29 col,340,Enduro kolesa,12.08.2025,196
Enduro kolo-SPECIALIZED ENDURO LTD ( 170/170mm),3.950 €,Rabljeno,Specialized,2022,M,Karbon,29 col,652,Enduro kolesa,24.08.2025,241
Gorsko kolo Cube LTD Race,450 €,Rabljeno,Cube,2010 ali starejši,M,Aluminij,26 col,688,Prednje vzmetena / XC kolesa,19.07.2025,235
SUNN KERN EN FINEST 2025,5.000 €,Novo,Sunn,2024,S,Karbon,29 col,551,Enduro kolesa,10.10.2025,419
NUKEPROOF GIGA CARBON 290,4.000 €,Rabljeno,Nukeproof,2022,L,Karbon,29 col,753,Enduro kolesa,05.08.2025,193
YT Industries Jeffsy CF One 29 karbon,1.100 €,Rabljeno,YT,2018,XL,Karbon,29 col,783,Trail in All-Mountain kolesa,30.09.2025,62
Pitch specialized,220 €,Rabljeno,Ostalo,2022,M,Aluminij,27.5 col (650b),233,Trail in All-Mountain kolesa,17.09.2025,535
Status Specialized,1.980 €,Rabljeno,Specialized,2024,M,Aluminij,Mullet (29 in 27.5),28,Enduro kolesa,11.10.2025,672
Pivot Shadowcat 27.5,2.600 €,Rabljeno,Pivot,2023,S,Karbon,27.5 col (650b),154,Enduro kolesa,29.08.2025,754
Cannondale Jekyll Carbon MEDIUM - kot NOVO,3.100 €,Rabljeno,Cannondale,2024,M,Karbon,29 col,1540,Enduro kolesa,22.09.2025,787
YT Capra core1 2024 (Zeb Ultimate),1.800 €,Rabljeno,YT,2024,L,Aluminij,29 col,308,Enduro kolesa,06.10.2025,011
"Canyon Neuron CF8, velikost L (29"")",1.650 €,Rabljeno,Canyon,2021,L,Karbon,29 col,160,Enduro kolesa,08.10.2025,286
Marin quad xc rift zone,800 €,Rabljeno,Marin,2010 ali starejši,M,Aluminij,26 col,126,Trail in All-Mountain kolesa,08.10.2025,104
GT Avalanche Sport,550 €,Rabljeno,GT,2023,S,Aluminij,29 col,243,Prednje vzmetena / XC kolesa,11.10.2025,120
Lapierre Zesty AM 9.9,2.100 €,Rabljeno,Lapierre,2021,L,Karbon,29 col,106,Trail in All-Mountain kolesa,26.08.2025,450
Transition Spire XT -  small,2.900 €,Rabljeno,Transition,2023,S,Karbon,29 col,732,Enduro kolesa,25.08.2025,806
lapierre zesty am cf 7.9,2.000 €,Rabljeno,Lapierre,2023,M,Karbon,29 col,94,Trail in All-Mountain kolesa,06.08.2025,105
Prodam Scott Genius 740,1.000 €,Rabljeno,Scott,2016,M,Aluminij,27.5 col (650b),1003,Trail in All-Mountain kolesa,19.07.2025,223
Specialized Chisel COMP,1.110 €,Rabljeno,Specialized,2021,XL,Aluminij,29 col,481,Prednje vzmetena / XC kolesa,25.09.2025,373
Downhill kolo Morewood,1 €,Rabljeno,Ostalo,2010 ali starejši,S,Aluminij,26 col,512,Downhill in Freeride kolesa,17.08.2025,460
Forbidden Dreadnaught,2.650 €,Rabljeno,Ostalo,2022,L,Karbon,Mullet (29 in 27.5),498,Enduro kolesa,10.10.2025,208
Giant trance 3,1.150 €,Rabljeno,Giant,2018,M,Aluminij,27.5 col (650b),223,Gorska kolesa,04.10.2025,44
YT Capra Uncaged 10 CF,2.700 €,Rabljeno,YT,2023,L,Karbon,Mullet (29 in 27.5),1235,Enduro kolesa,29.09.2025,308
"Commencal FRS, Dark Slate, M, 2023",3.000 €,Rabljeno,Commencal,2023,M,Aluminij,27.5 col (650b),81,Downhill in Freeride kolesa,17.09.2025,179
Mondraker Summum RR Carbon L 2023,3.900 €,Rabljeno,Mondraker,2023,L,Karbon,29 col,321,Downhill in Freeride kolesa,05.10.2025,151
Specialized Enduro Comp 2024 S4,2.900 €,Rabljeno,Specialized,2024,L,Karbon,29 col,464,Enduro kolesa,27.08.2025,509
